Name,Twitter Handle,Hometown,Miles from AA,First Offer,Last Offer,Official Visit,Last Official Visit,Attended Michigan,In-State
Isaiah Hodgins,IsaiahHodgins,"WALNUT CREEK, CA",2339,0,0,0,0,0,0
Pete Werner,petewerner23,"MOUNT VERNON, IN",452,0,0,0,0,0,0
Jonathan Sutherland,jay_suth,"ALEXANDRIA, VA",527,0,1,0,0,0,0
Bailey Hockman,B10aileyhockman,"POWDER SPRINGS, GA",694,0,0,0,0,0,0
Matt Dotson,Mattdotson21,"CINCINNATI, OH",250,0,0,0,0,0,0
Major Tennison,major_tennison,"BULLARD, TX",1123,0,0,0,0,0,0
Jordan McNair,Seven__Zer0,"OWINGS MILLS, MD",524,0,0,1,1,0,0
Donovan Jeter,JeteNificent34,"BEAVER FALLS, PA",254,0,0,1,0,1,0
Jimmy Jaggers,jimmy_jaggers,"ROSEVILLE, CA",2253,0,0,0,0,0,0
Tyrell Ajian,tyrellAjian,"MANSFIELD, OH",154,0,0,0,0,0,0
Charles Reeves,ihoo_cr15,"STEUBENVILLE, OH",283,1,0,0,0,0,0
Antjuan Simmons,_antjuan_,"ANN ARBOR, MI",0,0,0,0,0,0,1
Kenney Britt,K_Britt10,"OXFORD, AL",733,0,0,0,0,0,0
MJ Webb,mwebb_8,"MADISON, GA",769,0,0,0,0,0,0
JaRaymond Hall,hall_american,"OAK PARK, MI",39,1,0,1,1,1,1
A.J. Davis,fyeboii,"LAKELAND, FL",1157,0,0,0,0,0,0
Jaevon McQuitty,Yaboyjae19,"COLUMBIA, MO",597,0,0,0,0,0,0
Mike Harley,harleyxvi,"FORT LAUDERDALE, FL",1351,0,0,0,0,0,0
Will Ignont,WillIgnont,"HUNTSVILLE, AL",631,0,0,0,0,0,0
JaVonte Richardson,Jigg_Starter,"MAPLE HEIGHTS, OH",171,0,0,0,0,0,0
Kedrick James,kedrickjames044,"WACO, TX",1268,0,0,0,0,0,0
Tre Shaw,BcgTr3,"ELLENWOOD, GA",729,0,0,0,0,0,0
KJ Hamler,Kj_hamler,"BRADENTON, FL",1203,0,0,0,0,0,0
Dalyn Wade-Perry,DalynWP,"ENGLEWOOD, NJ",614,0,0,0,0,0,0
Grant Polley,gapolley44,"DENTON, TX",1169,0,0,0,0,0,0
Monty Rice,RiceMonty,"MADISON, AL",636,0,0,0,0,0,0
Breyon Gaddy,GaddyBreyon,"VIRGINIA BEACH, VA",721,0,0,0,0,0,0
Benjamin St-Juste,Benj_Juice,"MONTREAL, QC",601,0,0,1,0,1,0
Logan Rudolph,Logan4Rudolph,"ROCK HILL, SC",642,0,0,0,0,0,0
Chase Hayden,Chase_Hayden2,"COLLIERVILLE, TN",720,0,0,1,0,0,0
Elijah Hicks,ELITHEMAN1,"LA MIRADA, CA",2235,0,0,1,1,0,0
Taariq Johnson,JohnsonTaariq,"BUENA PARK, CA",2240,0,0,0,0,0,0
Rutger Reitmaier,ReitmaierRutger,"NASHVILLE, TN",522,0,0,1,1,0,0
Sampson Niu,saampsoniu,"SAN DIEGO, CA",2301,0,1,0,0,0,0
Ameer Speed,OG__speed,"JACKSONVILLE, FL",1000,0,0,0,0,0,0
J.T. Cauthen,CauthenJt,"WAXHAW, NC",645,0,0,0,0,0,0
Andrew Steuber,AndrewStueber99,"DARIEN, CT",654,0,0,1,1,1,0
Jordan Reid,THE__GREAT__,"DETROIT, MI",44,0,0,0,0,0,1
Neil Farrell,oops_Imsopaid,"MOBILE, AL",967,0,0,0,0,0,0
Billy Ross,RossBr7813,"HUNTINGTON, WV",321,0,0,0,0,0,0
Martin Andrus,Martin_A__,"LOS ANGELES, CA",2240,0,0,0,0,0,0
J'Marick Woods,JL_Woods1,"FLORENCE, AL",652,1,0,1,0,1,0
Juwan Burgess,OakhurstFredoo,"TAMPA, FL",1166,0,0,0,0,0,0
Tyler Beach,venomt57,"PORT WASHINGTON, WI",365,1,0,0,0,0,0
Justin Shaffer,shafferjustin77,"ELLENWOOD, GA",729,0,0,0,0,0,0
Jon Ford,Ford__1,"FORT LAUDERDALE, FL",1351,0,0,0,0,0,0
Popo Aumavae,PopoAumavae,"STOCKTON, CA",2321,0,0,0,0,0,0
Tre' McKitty,T_mckitty,"BRADENTON, FL",1203,0,0,0,0,0,0
Jaquan Henderson,JaquanHenderso2,"COVINGTON, GA",744,0,0,0,0,0,0
Tyler Smith,_lac14,"POWDER SPRINGS, GA",694,0,1,0,0,0,0
Mekhi Becton,MekhiBecton_,"HIGHLAND SPRINGS, VA",626,0,1,1,0,0,0
Will Register,WRegister88,"CHAPIN, SC",741,0,0,0,0,0,0
A.J. Dillon,ajdillon7,"NEW LONDON, CT",737,0,0,1,1,0,0
Alex Cook,Alexcook_2,"SACRAMENTO, CA",2270,0,1,0,0,0,0
Trevor Kent,TREVOR_KENT87,"PITTSBURG, KS",814,0,0,0,0,0,0
Juliano Falaniko,Juliano34733998,"PAGO PAGO, AS",6725,0,0,0,0,0,0
Adarius Lemons,adariuslemons,"CLEARWATER, FL",1188,0,0,0,0,0,0
Tre Swilling,TreSwilling,"NEW ORLEANS, LA",1052,0,0,0,0,0,0
Brad Hawkins,bradhawkins9,"CAMDEN, NJ",586,0,0,1,1,1,0
Kenneth Murray,murrayyy_2,"MISSOURI CITY, TX",1304,0,0,0,0,0,0
Deontre Thomas,deontrele,"MUSTANG, OK",1024,0,0,0,0,0,0
Joel Honigford,jhonig44,"SUGARCREEK, OH",201,0,0,0,0,1,0
Amari Carter,Carter_Fame,"PALM BEACH GARDENS, FL",1297,0,0,0,0,0,0
Guy Thomas,17sackmangt,"MIAMI, FL",1373,0,0,0,0,0,0
Carter Warren,CarterWarren79,"PATERSON, NJ",601,0,0,0,0,0,0
Phillip Paea,Phill_paea,"BERRIEN SPRINGS, MI",156,0,0,1,1,1,1
Brelin Faison-Walden,BrelinFaison,"GREENSBORO, NC",596,0,0,1,0,0,0
Alex Forsyth,alexforsyth75,"WEST LINN, OR",2352,0,0,0,0,0,0
Jack Coan,jcoan17,"WEST SAYVILLE, NY",670,0,0,0,0,0,0
Jordan Wright,JayyDubb15,"FORT LAUDERDALE, FL",1351,0,0,0,0,0,0
De'Andre Wilder,Eyecandy_WILDer,"OPA LOCKA, FL",1363,0,0,0,0,0,0
Kivon Bennett,kb_versace,"HOLLYWOOD, FL",1357,1,0,0,0,0,0
Kwity Paye,kwitypaye,"WARWICK, RI",785,0,0,1,1,1,0
Damon Williams,new_uno,"GADSDEN, AL",696,0,0,0,0,0,0
Brian Polendey,polendey87,"DENTON, TX",1169,1,0,0,0,0,0
Emmanuel McNeil,Eazy_Money_,"LAWRENCEVILLE, GA",728,0,0,0,0,0,0
Kane Taylor,taylor_kane11,"CLEARWATER, FL",1188,0,0,0,0,0,0
AJ Harris,aharris59,"MADISON, AL",636,0,0,0,0,0,0
Dalton Keene,DaltonKeene18,"LITTLETON, CO",1237,0,0,0,0,0,0
Anthony Payne,AnthonyPaynee,"PECULIAR, MO",748,0,1,0,0,0,0
Joshua Fedd-Jackson,JoshF_Jackson65,"NORTH ARLINGTON, NJ",610,0,0,0,0,0,0
Logan Bruss,LoganBruss,"KIMBERLY, WI",448,0,0,0,0,0,0
Tank Robinson,_TankDaGreat_,"SANTEE, SC",770,0,0,0,0,0,0
Leroy Henley,leedady1998,"DEERFIELD BEACH, FL",1334,0,0,0,0,0,0
Corey Bolds,Chief_Corey,"PARAMUS, NJ",608,1,0,0,0,0,0
Shanon Reid,SReezy21,"FORT MYERS, FL",1284,0,0,1,0,0,0
Damion Daniels,damiondaniels60,"DALLAS, TX",1174,0,0,0,0,0,0
Dayo Odeyingbo,dodeyingbo,"CARROLLTON, TX",1131,0,0,0,0,0,0
Toryque Bateman,35Reek,"GADSDEN, AL",696,0,0,0,0,0,0
Meshael Custis,Shy22Custis,"HAMPTON, GA",738,0,0,0,0,0,0
Kenedy Snell,k_snell2,"WAXAHACHIE, TX",1203,0,0,0,0,0,0
James Houston,Jthouston_4,"FORT LAUDERDALE, FL",1351,0,0,0,0,0,0
Drew Dalman,drewww0,"SALINAS, CA",2442,0,0,0,0,0,0
Robert Porcher IV,Rporcher4,"ORLANDO, FL",1147,0,0,1,0,0,0
Trey Pugh,pughtr3y,"PLAIN CITY, OH",167,0,0,0,0,0,0
Matt Landers,M_Landers1,"SAINT PETERSBURG, FL",1189,0,0,0,0,0,0
Sterling Jones,sterlingj32,"MONTGOMERY, AL",801,0,0,0,0,0,0
Bradley Jennings Jr.,BjBradleyj13,"JACKSONVILLE, FL",1000,0,0,0,0,0,0
Randall Haynie,R5_era,"FORT LAUDERDALE, FL",1351,0,0,0,0,0,0
Jelani Woods,jelani_thegreat,"ELLENWOOD, GA",729,0,0,0,0,0,0
Brandon Sebastian,203_brandon,"CHESHIRE, CT",694,0,0,1,1,0,0
Clevan Thomas,aborn_star,"MIAMI, FL",1373,0,0,0,0,0,0
Jordyn Peters,KingPete_x,"MUSCLE SHOALS, AL",656,0,0,0,0,0,0
Zech Byrd,zechz_world_,"MILLBROOK, AL",793,0,0,0,0,0,0
Kyshaun Bryan,KyshaunB,"FORT LAUDERDALE, FL",1351,0,0,0,0,0,0
Matthew Huhn,AtillaTheHuhn60,"SAN ANTONIO, TX",1447,0,0,0,0,0,0
Scott Nelson,_scottnelson,"DETROIT, MI",44,0,0,0,0,0,1
Kedonis Haslem,headhuncho77,"FORT LAUDERDALE, FL",1351,0,0,0,0,0,0
Ben Mason,benmason41,"SANDY HOOK, CT",667,0,0,1,1,1,0
Colin Anderson,Da_Bubblez,"KILLEN, AL",642,0,0,0,0,0,0
Josh Palmer,FlowerCitysOwn,"BRAMPTON, ON",260,0,0,0,0,0,0
Allen Sritzinger,Stay_Winnin_,"WARREN, MI",53,1,0,0,0,0,1
Jeremiah Zio,Jzio_24,"SAINT PETERSBURG, FL",1189,0,0,0,0,0,0
Matt Hankins,Matt_Hankins1,"FLOWER MOUND, TX",1141,0,1,1,1,0,0
Juan Harris,The_JH76_,"JANESVILLE, WI",352,1,0,1,0,0,0
Donovan Winter,drockvrp22,"ORLANDO, FL",1147,1,0,0,0,0,0
Garret Wallow,gwallow_12,"NEW ORLEANS, LA",1050,0,0,0,0,0,0
Kurt Taylor,KurtTaylorRb2,"COVINGTON, GA",745,0,0,0,0,1,0
Drew White,Drew_white11,"FORT LAUDERDALE, FL",1351,0,0,0,0,0,0
Mike Epstein,Dat26Kid,"FORT LAUDERDALE, FL",1351,0,0,0,0,0,0
Tory Carter,Tory44Carter,"LEESBURG, GA",886,0,0,0,0,0,0
Jordan Merrell,jordanmerrell1,"LIGONIER, PA",331,0,0,0,0,0,0
Malik Horton,MalikHorton_5,"PHILADELPHIA, PA",582,0,0,0,0,0,0
Collin Smith,Collin17Smith,"MENOMONIE, WI",584,1,0,0,0,0,0
Chase Lasater,ChaseLasater,"JACKSONVILLE, FL",1000,0,0,0,0,0,0
Carter Dunaway,c_dunaway50,"BLOOMFIELD HILLS, MI",44,1,0,0,0,0,1
Ifeatu Melifonwu,Ifeatu_Mel,"GRAFTON, MA",771,0,0,0,0,0,0
Brad Robbins,brobb713,"WESTERVILLE, OH",180,0,0,0,0,1,0
