,Intercept,Name,Twitter Handle,Miles from AA,First Offer,Last Offer,OfficialVisit,Last Official Visit,Attended Michigan,In-State,screenName,michFavToAllTweetRatio,michTweetToAllTweetRatio,michOverallTweetRatio,michNativeRTweetRatio,michNativeTweetRatio,Logisitc Regression l1 Pred Label,Logisitc Regression l1 No Prob,Logisitc Regression l1 Yes Prob,Logisitc Regression l2 Pred Label,Logisitc Regression l2 No Prob,Logisitc Regression l2 Yes Prob,Random Forest Model Predicted Labels,Random Forest No Prob,Random Forest Yes Prob,XGB Predicted Labels,XGB No Prob,XGB Yes Prob
155,1,Elijah Hicks,ELITHEMAN1,2235,0,0,1,1,0,0,ELITHEMAN1,0,0,0,0,0,1,0.455055691,0.544944309,1,0.467254926,0.532745074,1,0.212,0.788,1,0.4991532,0.5008468
157,1,Rutger Reitmaier,ReitmaierRutger,522,0,0,1,1,0,0,ReitmaierRutger,0,0,0,0,0,1,0.191615406,0.808384594,1,0.165888214,0.834111786,1,0.278,0.722,1,0.49839634,0.50160366
162,1,J'Marick Woods,laythatwood26,652,1,0,1,0,1,0,laythatwood26,2.359008264,1.551689861,0.033333333,0.065989848,0.004484305,1,0.426713615,0.573286385,1,0.405826239,0.594173761,1,0.488,0.512,1,0.4985748,0.5014252
168,1,Mekhi Becton,semonebecton,626,0,1,1,0,0,0,semonebecton,0,0,0.034271726,0.044515103,0,1,0.374769851,0.625230149,1,0.262009266,0.737990734,0,0.574,0.426,1,0.4985748,0.5014252
170,1,A.J. Dillon,ajdillon7,737,0,0,1,1,0,0,ajdillon7,5.84835833,6.099182248,0.109513274,0.144249513,0.063938619,1,0.324999513,0.675000487,1,0.316193316,0.683806684,0,0.608,0.392,0,0.5003442,0.49965578
175,1,Brad Hawkins,bradhawkins9,586,0,0,1,1,1,0,bradhawkins9,7.822222222,5.245892305,0.076422764,0.155913978,0.041958042,1,0.3240688,0.6759312,1,0.322330306,0.677669694,0,0.744,0.256,1,0.49981785,0.50018215
182,1,Phillip Paea,Phill_paea,156,0,0,1,1,1,1,Phill_paea,3.225340737,3.726356589,0.317307692,0.345679012,0.217391304,1,0.198594524,0.801405476,1,0.128861315,0.871138685,1,0.33,0.67,1,0.49839634,0.50160366
187,1,Kwity Paye,kwitypaye,785,0,0,1,1,1,0,kwitypaye,0,0,0,0,0,1,0.223357326,0.776642674,1,0.19985039,0.80014961,1,0.392,0.608,1,0.4991532,0.5008468
199,1,Shanon Reid,SReezy21,1284,0,0,1,0,0,0,SReezy21,4.549624541,4.500935745,0.080924855,0.157894737,0.074844075,0,0.59715426,0.40284574,0,0.606290301,0.393709699,0,0.656,0.344,1,0.4993317,0.5006683
205,1,Robert Porcher IV,Rporcher4,1147,0,0,1,0,0,0,Rporcher4,5.143361282,6.582149394,0.024278215,0.028763183,0.014553015,0,0.595923842,0.404076158,0,0.59447185,0.40552815,0,0.648,0.352,0,0.5005227,0.49947733
216,1,Ben Mason,benchmason42,667,0,0,1,1,1,0,benchmason42,4.217213115,5.543278085,0.011904762,0,0.028571429,1,0.288061604,0.711938396,1,0.266545696,0.733454304,1,0.27,0.73,1,0.4995873,0.5004127
220,1,Matt Hankins,Matt_Hankins1,1141,0,1,1,1,0,0,Matt_Hankins1,0,0,0.002862595,0.005565863,0,1,0.271999807,0.728000193,1,0.187159703,0.812840297,1,0.286,0.714,1,0.4991532,0.5008468
